Test_External_Id__c,Exam__c,Recommended_Badge_Mix__r.Test_External_Id__c,Weight__c,Name
a0C8c00000Xm12FEAR,,a098c00000sTtpRAAS,,Leadership
a0C8c00000Xm0t1EAB,,a098c00000sTtpRAAS,,Industries
a0C8c00000Xm12AEAR,,a098c00000sTtpRAAS,,Other
a0C8c00000Xm0t4EAB,,a098c00000sTtpRAAS,,Potential Recommended Projects
a0C8c00000Xm0t5EAB,,a098c00000sTtpRAAS,,Quick Looks
a0C8c00000Xm0t9EAB,,a098c00000sTtpRAAS,,Just for Ben
a0C8c00000Xm12KEAR,,a098c00000sTtpRAAS,,Mobile Development
a0C8c00000Xm0suEAB,,a098c00000sTtpRAAS,,Potential Recommended Badges
a0C8c00000mw0rREAQ,,a098c00000sTtpRAAS,,Principal Onboarding
a0C8c00000XpaXSEAZ,,a098c00000sTtpRAAS,,AWS
a0C8c00000nXbd6EAC,,a098c00000sTmmpAAC,,Career
a0C8c00000u1kPSEAY,,a098c00000sTtpRAAS,,AI
a0C8c00000u2a2HEAQ,,a098c00000sTmmpAAC,,Flow Superbadges
a0C8c00000XmXqsEAF,,a098c00000sTtpRAAS,,General Cybersecurity
a0C8c00000XmgcqEAB,,a098c00000sTmmpAAC,,Einstein Next Best Action
a0C8c00000XmiefEAB,PDI,a098c00000sTmmqAAC,,Platform Developer I Certification Prep
a0C8c00000XmiixEAB,ADM,a098c00000sTmmuAAC,,Administrator Certification Prep
a0C8c00000YPwGjEAL,,a098c00000sTmmpAAC,,Declarative User Interface
a0C8c00000Xlw5XEAR,PDI,a098c00000sTmmqAAC,7,Salesforce Fundamentals
a0C8c00000Xlw5YEAR,PDI,a098c00000sTmmqAAC,13,Data Modeling & Management
a0C8c00000Xlw5ZEAR,PDI,a098c00000sTmmqAAC,40,Process Automation & Logic
a0C8c00000Xlw5aEAB,PDI,a098c00000sTmmqAAC,23,User Interface
a0C8c00000Xlw5bEAB,PDI,a098c00000sTmmqAAC,17,"Testing, Debugging, & Deployment"
a0C8c00000Xlw5cEAB,ADM,a098c00000sTmmuAAC,20,Configuration & Setup
a0C8c00000Xlw5dEAB,ADM,a098c00000sTmmuAAC,20,Object Manager & Lightning App Builder
a0C8c00000Xlw5eEAB,ADM,a098c00000sTmmuAAC,12,Sales & Marketing Applications
a0C8c00000Xlw5fEAB,ADM,a098c00000sTmmuAAC,11,Service & Support Applications
a0C8c00000Xlw5gEAB,ADM,a098c00000sTmmuAAC,7,Productivity & Collaboration
a0C8c00000Xlw5hEAB,ADM,a098c00000sTmmuAAC,14,Data & Analytics Management
a0C8c00000Xlw5iEAB,ADM,a098c00000sTmmuAAC,16,Workflow/Process Automation
a0C8c00000Xlw4nEAB,,a098c00000sTmmpAAC,,Administration
a0C8c00000Xlw4oEAB,,a098c00000sTmmpAAC,,Administration Projects
a0C8c00000Xlw4pEAB,,a098c00000sTmmpAAC,,Administrator Certification
a0C8c00000Xlw4qEAB,,a098c00000sTmmpAAC,,Advanced Administration
a0C8c00000Xlw4rEAB,,a098c00000sTmmpAAC,,Advanced Apex
a0C8c00000Xlw4sEAB,,a098c00000sTmmpAAC,,Agile Frameworks
a0C8c00000Xlw4tEAB,,a098c00000sTmmpAAC,,Apex
a0C8c00000Xlw4uEAB,,a098c00000sTmmpAAC,,Apex & CRUD
a0C8c00000Xlw4vEAB,,a098c00000sTmmpAAC,,Apex Security
a0C8c00000Xlw4wEAB,,a098c00000sTmmpAAC,,AppExchange
a0C8c00000Xlw4xEAB,,a098c00000sTmmpAAC,,Application Lifecycle & Development Models
a0C8c00000Xlw4zEAB,,a098c00000sTmmpAAC,,Chatter
a0C8c00000Xlw50EAB,,a098c00000sTmmpAAC,,Custom Metadata Types & Custom Settings
a0C8c00000Xlw51EAB,,a098c00000sTmmpAAC,,Data Quality & Management
a0C8c00000Xlw52EAB,,a098c00000sTmmpAAC,,Data Model
a0C8c00000Xlw53EAB,,a098c00000sTmmpAAC,,Data Visualization
a0C8c00000Xlw54EAB,,a098c00000sTmmpAAC,,Deployment
a0C8c00000Xlw4yEAB,,a098c00000sTmmpAAC,,Auditing
a0C8c00000Xlw56EAB,,a098c00000sTmmpAAC,,Experience Cloud
a0C8c00000Xlw57EAB,,a098c00000sTmmpAAC,,Flows
a0C8c00000Xlw58EAB,,a098c00000sTmmpAAC,,Github
a0C8c00000Xlw59EAB,,a098c00000sTmmpAAC,,Governor Limits & Performance
a0C8c00000Xlw5AEAR,,a098c00000sTmmpAAC,,Salesforce Connect
a0C8c00000Xlw5BEAR,,a098c00000sTmmpAAC,,Integration
a0C8c00000Xlw5CEAR,,a098c00000sTmmpAAC,,JavaScript
a0C8c00000Xlw5DEAR,,a098c00000sTmmpAAC,,Lightning Aura Components
a0C8c00000Xlw5EEAR,,a098c00000sTmmpAAC,,Lightning Design System
a0C8c00000Xlw5GEAR,,a098c00000sTmmpAAC,,Lightning Web Components
a0C8c00000Xlw5HEAR,,a098c00000sTmmpAAC,,Package Based Development & SFDX
a0C8c00000Xlw5IEAR,,a098c00000sTmmpAAC,,Platform Developer I Certification
a0C8c00000Xlw5JEAR,,a098c00000sTmmpAAC,,Platform Events
a0C8c00000Xlw5KEAR,,a098c00000sTmmpAAC,,Presentation Fundamentals
a0C8c00000Xlw5LEAR,,a098c00000sTmmpAAC,,Process Automation
a0C8c00000Xlw5MEAR,,a098c00000sTmmpAAC,,Salesforce Introduction
a0C8c00000Xlw5OEAR,,a098c00000sTmmpAAC,,Sales Cloud
a0C8c00000Xlw5PEAR,,a098c00000sTmmpAAC,,Sandboxes
a0C8c00000Xlw5QEAR,,a098c00000sTmmpAAC,,Security
a0C8c00000Xlw5REAR,,a098c00000sTmmpAAC,,Service Cloud
a0C8c00000Xlw5SEAR,,a098c00000sTmmpAAC,,Testing
a0C8c00000Xlw5TEAR,,a098c00000sTmmpAAC,,Trailhead
a0C8c00000Xlw5UEAR,,a098c00000sTmmpAAC,,Triggers
a0C8c00000Xlw5VEAR,,a098c00000sTmmpAAC,,Visual Studio Code & Code Builder
a0C8c00000Xlw5WEAR,,a098c00000sTmmpAAC,,Visualforce
a0C8c00000ivLEFEA2,,a098c00000sTtpRAAS,,Data Analysis
a0C8c00000XnEb1EAF,,a098c00000sTtpRAAS,,Design
a0C8c00000t5Qn8EAE,,a098c00000sTtpRAAS,,B2B Commerce
a0C8c00000kGXYcEAO,,a098c00000sTtpRAAS,,Advanced Admin